<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
914.HK,D,20130627,000000,17.502,18.219,17.207,17.376,33971386,0
914.HK,D,20130628,000000,17.502,17.883,17.376,17.713,18245512,0
914.HK,D,20130702,000000,18.008,18.008,17.039,17.334,15804626,0
914.HK,D,20130703,000000,17.123,17.25,16.432,16.465,25889708,0
914.HK,D,20130704,000000,16.397,16.912,16.363,16.481,23371226,0
914.HK,D,20130705,000000,16.735,18.093,16.735,17.67,32334425,0
914.HK,D,20130708,000000,17.334,17.461,16.955,17.292,18997368,0
914.HK,D,20130709,000000,17.461,17.629,17.039,17.334,12623914,0
914.HK,D,20130710,000000,17.334,17.629,16.912,17.376,18546003,0
914.HK,D,20130711,000000,18.093,18.893,17.755,18.809,36218541,0
914.HK,D,20130712,000000,19.147,19.568,18.852,19.106,39547118,0
914.HK,D,20130715,000000,19.231,19.442,18.937,19.062,20806810,0
914.HK,D,20130716,000000,19.231,19.274,18.431,18.6,14308932,0
914.HK,D,20130717,000000,19.022,20.032,19.022,19.737,41252621,0
914.HK,D,20130718,000000,19.612,19.696,19.106,19.442,13402204,0
914.HK,D,20130719,000000,19.442,19.442,18.979,19.022,19302663,0
914.HK,D,20130722,000000,19.231,19.231,18.219,18.768,20575264,0
914.HK,D,20130723,000000,18.6,19.4,18.6,19.316,20622454,0
914.HK,D,20130724,000000,19.4,19.612,19.062,19.316,15936789,0
914.HK,D,20130725,000000,19.106,20.201,19.106,19.948,22841655,0
914.HK,D,20130726,000000,20.032,20.665,19.781,20.032,20101734,0
914.HK,D,20130729,000000,19.737,19.991,19.189,19.442,19349400,0
914.HK,D,20130730,000000,19.442,19.612,19.062,19.358,9469033,0
914.HK,D,20130731,000000,19.526,19.822,19.231,19.358,10778829,0
914.HK,D,20130801,000000,19.653,20.16,19.612,19.906,14005753,0
914.HK,D,20130802,000000,20.58,20.876,20.455,20.75,32141408,0
914.HK,D,20130805,000000,21.087,21.424,20.75,21.044,21213821,0
914.HK,D,20130806,000000,21.003,21.003,20.286,20.58,11713322,0
914.HK,D,20130807,000000,20.539,21.044,20.16,20.201,14272925,0
914.HK,D,20130808,000000,20.201,20.792,20.201,20.455,8813975,0
914.HK,D,20130809,000000,20.665,20.961,20.539,20.961,14064833,0
914.HK,D,20130812,000000,20.961,21.974,20.876,21.804,26211322,0
914.HK,D,20130813,000000,22.015,22.521,21.804,22.479,33195120,0
914.HK,D,20130815,000000,22.352,22.732,22.267,22.436,20983208,0
914.HK,D,20130816,000000,22.099,22.732,21.636,22.563,30034615,0
914.HK,D,20130819,000000,22.521,22.521,22.099,22.267,8978172,0
914.HK,D,20130820,000000,22.099,22.69,21.636,21.761,13438867,0
914.HK,D,20130821,000000,21.804,21.974,21.171,21.678,11485226,0
914.HK,D,20130822,000000,21.171,22.015,21.171,21.888,13688744,0
914.HK,D,20130823,000000,22.058,22.436,21.888,22.226,18882734,0
914.HK,D,20130826,000000,22.563,22.732,22.142,22.563,11214775,0
914.HK,D,20130827,000000,22.267,22.605,22.015,22.183,5700152,0
914.HK,D,20130828,000000,21.931,22.058,21.255,21.383,12108863,0
914.HK,D,20130829,000000,21.636,21.804,20.876,21.341,13743612,0
